step,actor_loss,critic_1_loss,critic_2_loss,noise_std
2501,22.243452072143555,591.402587890625,591.134765625,0.3496665333333333
5001,42.1859016418457,482.68511962890625,493.4464416503906,0.34933319999999995
7501,56.787715911865234,564.2330322265625,531.9454956054688,0.34899986666666666
10001,83.60381317138672,573.56787109375,545.0052490234375,0.3486665333333333
12501,120.79520416259766,551.1162109375,573.3760375976562,0.34833319999999995
15001,123.91106414794922,495.1178894042969,515.1141357421875,0.34799986666666666
17501,115.1122055053711,869.2583618164062,1018.136474609375,0.3476665333333333
20001,113.6809310913086,623.3372802734375,668.12939453125,0.34733319999999995
22501,113.9656753540039,910.6506958007812,1054.93310546875,0.34699986666666666
25001,118.21051788330078,540.1596069335938,558.7003173828125,0.3466665333333333
27501,124.09124755859375,763.9591064453125,770.740966796875,0.34633319999999995
30001,132.44216918945312,784.6343383789062,711.1229248046875,0.34599986666666666
32501,125.52854919433594,602.2263793945312,655.7611083984375,0.3456665333333333
35001,117.67108154296875,699.328857421875,797.7609252929688,0.34533319999999995
37501,116.30236053466797,855.533935546875,954.8425903320312,0.34499986666666665
40001,127.31661987304688,832.20703125,904.1044921875,0.3446665333333333
42501,134.5675811767578,743.044921875,684.4766845703125,0.34433319999999995
45001,131.5081787109375,724.3580322265625,771.107666015625,0.34399986666666665
47501,139.4394989013672,946.342041015625,1005.9501953125,0.3436665333333333
50001,146.5583038330078,806.8251953125,784.6860961914062,0.3433332
52501,145.7679443359375,630.4224853515625,592.6705932617188,0.34299986666666665
55001,139.997314453125,712.7991333007812,561.0087890625,0.3426665333333333
57501,139.11318969726562,799.6580810546875,775.67333984375,0.3423332
60001,137.54022216796875,814.849609375,813.1500244140625,0.34199986666666665
62501,137.64036560058594,705.8466186523438,813.0390625,0.3416665333333333
65001,136.1009063720703,805.62744140625,775.6937255859375,0.3413332
67501,140.67965698242188,787.0863037109375,746.4268798828125,0.34099986666666665
70001,148.18740844726562,873.6658935546875,813.133056640625,0.3406665333333333
72501,154.14956665039062,1049.345703125,975.8177490234375,0.3403332
75001,155.77593994140625,638.3953857421875,577.68701171875,0.33999986666666665
77501,165.09298706054688,706.0723266601562,786.8140869140625,0.3396665333333333
80001,165.4164276123047,1038.0941162109375,1033.43603515625,0.3393332
82501,159.33738708496094,754.211669921875,717.4976196289062,0.33899986666666665
85001,156.97134399414062,598.848388671875,590.5989990234375,0.3386665333333333
87501,154.03944396972656,692.3359375,694.0960693359375,0.3383332
90001,153.60110473632812,756.4534912109375,775.6151123046875,0.33799986666666665
92501,149.26637268066406,433.6380310058594,422.32891845703125,0.3376665333333333
95001,153.79754638671875,709.898193359375,692.8114013671875,0.3373332
97501,161.04946899414062,513.5796508789062,529.4866943359375,0.33699986666666665
100001,155.80503845214844,476.7231750488281,456.8701477050781,0.3366665333333333
102501,158.9367218017578,541.19921875,558.17138671875,0.3363332
105001,166.92994689941406,563.1937255859375,583.2537231445312,0.33599986666666665
107501,178.5282745361328,646.204345703125,645.888916015625,0.3356665333333333
110001,187.67190551757812,809.0718994140625,783.5948486328125,0.3353332
