episode,reward,discounted_reward,steps,distance_traveled
142,-300.04117,-155.93553,124,997.78735
143,-300.12738,-218.17387,91,45.641968
144,-310.1984,-204.16742,59,76.08104
145,-303.4661,-172.68318,84,205.98071
146,-309.32474,-228.72873,80,200.22055
147,-301.37085,-246.50485,36,-75.11875
148,-301.4392,-217.03815,54,78.45059
149,-309.43277,-253.06874,35,-64.71513
150,-309.0949,-211.49959,54,6.236862
151,-306.0289771802669,-262.8504858690099,28,30.375809
152,-312.193397358747,-274.0965284817673,26,4.9865494
153,-311.61681869649226,-273.69006759037796,26,4.9865494
154,-309.4801933707432,-271.86526908989737,26,4.9865494
155,-309.45635411216256,-271.8979748977378,26,4.9865494
156,-305.3533776170622,-268.69536621736984,26,4.9865494
157,-308.84042114674025,-252.42891446713233,39,4.9865494
158,-306.66259002867514,-256.36585085373207,35,4.9865494
159,-304.8392764756388,-238.0267544067204,52,4.9865494
160,-308.8709076771444,-250.20162705911687,40,4.9865494
161,-303.6143234659363,-243.177312943312,43,4.9865494
162,-301.9894484689312,-241.08640527978713,46,4.9865494
163,-301.3877318324658,-248.31645425058056,37,4.9865494
164,-310.49650744891323,-254.1614795609092,39,4.9865494
165,-305.92053904568905,-250.50815576043254,38,4.9865494
166,-300.10191196203675,-248.76654668313958,35,4.9865494
167,-304.2638784875578,-250.37657945387937,36,4.9865494
168,-300.52514795831735,-243.8878816256478,41,4.9865494
169,-304.287642069436,-253.26045582786867,35,4.9865494
170,-300.175212964591,-251.5097179521449,33,4.9936447
171,-300.2824246771009,-250.87195032994978,33,5.0063477
172,-306.9609568366464,-239.16973865608122,47,4.999977
173,-306.07898939037887,-243.7555004935738,43,5.0035477
174,-302.9532159381384,-247.45285091280041,39,5.0069885
175,-305.9092381821298,-242.22365465470966,46,5.014076
176,-305.35169502992653,-244.62683603067126,44,5.041031
177,-301.95014732499516,-240.95278359989337,44,5.0427704
178,-307.31151050024005,-245.02122705045423,45,5.0568314
179,-308.63235105428845,-246.17400848244444,44,5.0307236
180,-304.88876941839465,-245.12255518548855,43,5.0644913
181,-303.40657387704954,-244.01646350964913,43,5.0496597
182,-305.39587619235516,-243.3067299573257,45,5.054718
183,-309.8734645178362,-249.291459369805,43,5.0704193
184,-303.0008783335195,-244.53434349887053,43,5.060524
185,-307.0129579175719,-247.35940288187774,43,5.1559906
186,-304.62037594723944,-246.07311450410697,43,5.233658
187,-305.12718716999825,-245.70536406313914,44,5.221115
188,-305.2673526241986,-245.52542849288122,43,6.2486496
189,-305.2684146739937,-246.02522574889267,43,5.9891434
190,-303.504146309719,-246.86230281610096,42,6.6217346
191,-302.24556867743456,-244.8463041819509,42,6.5904465
192,-302.4351471460894,-244.19459095021824,43,6.797287
193,-301.9525727476316,-245.53274377640383,41,6.589035
194,-302.8940731488449,-244.7456280462472,43,7.9076233
195,-306.45500747558685,-247.58984990452603,42,8.957123
196,-305.5922322106338,-245.08953786220656,43,9.499199
197,-302.62440223109365,-244.03668819460322,42,9.000832
198,-301.46584195888886,-245.61439292400647,41,9.135735
199,-302.8879415183975,-246.2912955385062,40,11.133713
200,-300.15750774024986,-244.06338165874874,41,11.782913
201,-305.53778393922113,-239.55746598167968,45,13.576012
202,-301.0654702986822,-238.23793024349698,44,13.981789
203,-308.3222119522248,-249.86485162969586,42,9.597328
204,-300.9680038121876,-239.5936915073089,43,16.550926
205,-305.54505168685426,-247.20202981113812,41,11.736931
206,-305.7543863939024,-244.66985193215308,43,13.937431
207,-308.6672078228638,-242.52529787551853,44,14.531799
208,-307.32656748613556,-244.21100758052967,42,19.81411
209,-304.8535187670994,-247.19839138292414,41,15.591728
210,-305.44589160855,-250.96930042742343,39,12.15966
211,-302.3011390846962,-238.28775444180397,43,21.205307
212,-300.42752162698594,-238.16391454953572,42,22.247086
213,-307.0800498891116,-248.6999911740561,41,10.372978
214,-302.5345627690587,-231.04880510408742,47,20.27871
215,-302.6588284668911,-240.15918630564875,44,19.37989
216,-305.2824262001175,-231.89521128870882,49,22.983604
217,-303.133588849163,-233.9810479258778,46,19.026657
218,-303.9779474894199,-227.53509541306718,50,20.017685
219,-309.14553845123027,-224.16223961024866,54,27.514694
220,-300.42153194570386,-210.79324821651258,60,28.052841
221,-300.4989175628326,-223.66812860065488,50,48.015213
222,-301.69097238358296,-209.24301791956353,66,38.683823
223,-300.8794853435583,-210.09212489157974,70,76.02171
224,-304.43306139410095,-202.2233128253727,84,103.54048
225,-304.5908916832233,-199.86483189826876,85,129.51936
226,-300.26290849949663,-207.45442929619634,81,95.851776
227,-300.2963788903138,-208.27989141820396,75,78.8689
228,-301.3330268752727,-202.44356180495745,83,111.59747
229,-305.85913495830937,-193.80103227503864,85,161.46921
230,-301.13022795466503,-183.23813222566423,87,191.0776
231,-309.36499408810766,-181.42476482395472,92,195.10516
232,-306.1881299762151,-172.3594932948924,92,222.88245
233,-301.8462612091481,-153.50354828247,153,543.9243
234,-304.50102576709213,-169.9645934029882,90,253.89212
235,-303.3293965485573,-163.57919384731667,91,274.62872
236,-300.65204466694547,-161.06650963645208,138,648.35565
237,-300.42646973569606,-168.73957779884756,111,472.57428
238,-300.3398752226276,-163.834033847092,121,576.97064
239,-300.27601210836474,-164.95013762419114,122,589.5319
240,-300.4914189220027,-134.90371223585836,167,658.72424
241,-300.26455062038417,-140.1627407397645,154,653.99335
242,-300.2865953226775,-143.1131395992913,153,673.42303
243,-300.1477545672462,-146.879532671264,141,660.97363
244,-301.2361065406404,-150.2532457876104,132,626.51746
245,-301.59312517027746,-144.34839915816931,146,669.3359
246,-309.59268525051465,-159.2014954483169,89,293.54657
247,-301.5527049634711,-163.0402952043481,87,292.67795
248,-304.37775864417586,-168.21059232094353,86,296.6008
249,-311.9357472350779,-171.65641947975615,87,287.0074
250,-300.2276801264091,-162.84840877935184,87,288.5739
251,-304.19717414877374,-166.97520402086207,88,293.42294
252,-300.4996083086546,-163.69023115624563,87,294.72543
253,-304.8147155288741,-167.56839671061567,89,289.1507
254,-301.30999906222553,-157.78042878575428,132,536.7791
255,-304.25751542831176,-128.57338877046303,205,751.28204
256,-300.4989427870896,-162.38608967109073,110,277.0022
257,-301.48772707260207,-155.13115747247608,146,537.57275
258,-300.61305072519616,-152.91080455929836,145,543.8838
259,-303.7469485910459,-156.8142293619433,142,430.54547
260,-300.9334884315897,-177.8775052212359,134,311.7998
261,-301.6901171893983,-190.46939922031981,115,259.40143
262,-300.38986854019794,-158.11928306379903,147,385.34528
263,-303.6079666484678,-221.30397621649993,101,156.3295
264,-300.18963623092026,-154.42613665523808,174,338.49277
265,-301.99982151566445,-161.00647103143388,161,271.72223
266,-300.5739124716039,-171.06179854276502,146,256.87534
267,-300.2194112819243,-152.86332334183402,204,320.55722
268,-300.4002013885241,-166.4084115655404,126,185.8028
269,-301.1948511058262,-173.9917237615972,100,126.594925
270,-303.436172131018,-159.0972012547563,165,155.65016
271,-300.0604849316825,-149.2640820314317,122,147.09763
272,-301.25335743011186,-152.08962824587144,109,85.766556
273,-302.13824743320106,-160.86567456166594,108,92.01401
274,-308.8020689799517,-165.64358869155126,105,121.7663
275,-300.9155820477831,-148.260187744593,179,173.4072
276,-301.6226342712295,-147.01728029124132,172,101.72507
277,-300.945347104028,-155.10395741540194,106,115.68436
278,-306.1993293443819,-145.67025756858416,180,204.42291
279,-301.31138556215984,-138.67336537681973,192,226.9166
280,-300.8739155613981,-151.99806698453116,169,209.41013
281,-301.14484699494096,-165.29738593569905,108,211.37692
282,-300.2800745005816,-159.48968775013628,170,189.69421
283,-306.67556884787643,-164.00566765938237,106,124.608475
284,-305.45491369332257,-167.15199229096828,95,144.13617
285,-304.3917365491997,-167.22819529904697,99,147.8598
286,-303.40107468274664,-158.2406888311314,105,133.58688
287,-302.93768389009944,-169.56482273993203,94,140.97658
288,-301.0931608013087,-170.41910960665254,94,144.67813
