episode,reward,steps,distance_traveled,steps_in_target_lane,avg_speed_diff,speed_deviation_ratio,fail_mode
156,-181.54715,31,304.9377,20,8.054995,0.3225806451612903,1
157,67.410965,26,254.92899,26,0.65016645,0.0,1
158,351.53656,73,756.33716,73,1.9734374,0.0,1
159,640.45325,200,1958.1377,180,1.6452485,0.025,0
160,82.21397,18,173.65591,18,1.7361614,0.0,1
161,816.78107,200,1886.6403,195,2.8512223,0.03,0
162,125.86093,38,374.7624,32,2.0982344,0.05263157894736842,1
163,653.16907,186,1838.7979,173,2.061892,0.026881720430107527,1
164,488.4859,119,1185.845,117,2.4389439,0.0,1
165,151.36432,43,421.6684,42,0.7350468,0.0,1
166,845.40027,200,1973.6333,187,2.2248719,0.01,0
167,55.71768,17,161.0889,17,2.5706391,0.0,1
168,164.83,50,496.59216,45,2.0173788,0.06,1
169,253.67688,53,527.9132,53,1.8137887,0.05660377358490566,1
170,1047.6324,200,1984.072,196,0.79600316,0.0,0
171,451.24606,98,990.3878,96,0.865616,0.0,1
172,691.2383,151,1554.6978,151,2.04805,0.0,1
173,671.8709,200,1967.4724,181,1.9323469,0.02,0
174,774.721,200,1867.6393,182,3.0544732,0.06,0
175,921.139,200,1960.9958,195,1.5907992,0.0,0
176,76.26915,77,788.496,72,5.098264,0.06493506493506493,1
177,81.94723,16,158.22836,16,0.8832252,0.0,1
178,111.58569,40,408.29364,39,1.9187418,0.0,1
179,116.767105,51,483.08997,44,4.219933,0.058823529411764705,1
180,318.2319,90,869.68036,84,1.3608861,0.0,1
181,395.16046,200,2022.2615,179,2.9307837,0.075,0
182,157.21326,143,1463.0659,134,4.89764,0.13286713286713286,1
183,804.4539,183,1829.3307,174,1.4531437,0.02185792349726776,1
184,1107.8394,200,1995.6106,198,0.7713805,0.005,0
185,938.38715,200,1996.4409,184,1.5290226,0.025,0
186,712.41406,182,1811.9364,173,1.7703499,0.03296703296703297,1
187,567.14984,117,1172.5702,113,1.7164975,0.03418803418803419,1
188,792.21716,200,1984.1282,182,1.7076687,0.04,0
189,791.2593,200,1897.8271,184,3.3173323,0.095,0
190,898.4085,200,1972.6218,185,1.4488789,0.02,0
191,833.89594,200,1961.0037,196,2.2497299,0.0,0
192,994.4872,200,2006.7354,197,1.2539196,0.005,0
193,615.8781,200,1904.5862,183,2.048446,0.025,0
194,435.33948,94,947.0043,88,1.6761478,0.031914893617021274,1
195,62.070847,21,211.59848,21,1.1830267,0.0,1
196,518.9002,100,1011.2323,99,0.8626883,0.0,1
197,190.36705,61,616.47534,57,1.1640042,0.0,1
198,96.646545,32,318.10492,31,0.62587345,0.0,1
199,1024.8229,200,1987.9265,197,1.4272058,0.005,0
200,789.12537,174,1693.721,171,1.7272384,0.0,1
201,1061.4778,200,1993.302,198,0.78778124,0.0,0
202,942.39325,200,1882.8331,198,2.8553143,0.0,0
203,209.7481,56,554.48834,54,0.901,0.0,1
204,416.15186,92,906.3053,87,2.119159,0.043478260869565216,1
205,786.35596,200,1976.3948,183,1.8045765,0.025,0
206,772.3456,200,1983.4895,181,1.5097504,0.025,0
207,282.94745,118,1202.1771,112,2.5199811,0.03389830508474576,1
208,572.6879,114,1157.7094,113,1.0341552,0.0,1
209,430.46033,130,1296.7183,124,2.2100751,0.038461538461538464,1
210,216.06302,49,472.3919,49,1.6772994,0.0,1
211,612.9676,116,1191.6,116,1.4473847,0.0,1
212,263.43445,48,480.64136,48,0.5091041,0.0,1
213,939.9543,193,1956.2517,191,1.3066924,0.0,1
214,264.5899,63,634.25867,62,0.7523976,0.0,1
215,176.76147,41,415.39716,41,1.0605512,0.0,1
216,207.82222,67,659.9555,66,2.5356,0.0,1
217,363.11206,67,672.4939,67,0.5092913,0.0,1
218,582.02563,200,1932.2554,183,2.3901014,0.025,0
219,863.1918,200,1939.3788,186,2.3333566,0.065,0
220,299.24933,73,719.0132,65,1.9775263,0.0410958904109589,1
221,213.57414,59,591.1522,54,2.2741525,0.05084745762711865,1
222,330.45734,67,674.75134,67,0.6510292,0.0,1
223,118.555855,35,344.0048,30,2.1552312,0.05714285714285714,1
