step,actor_loss,critic_1_loss,critic_2_loss,noise_std
2001,6.474077224731445,26.163528442382812,26.47226905822754,0.2993746875
3001,10.783134460449219,21.616405487060547,20.43156623840332,0.29906218749999997
4001,13.451421737670898,23.37169647216797,23.4992618560791,0.29874968749999997
5001,14.243587493896484,34.73565673828125,34.18803405761719,0.2984371875
6001,13.537652969360352,34.62034606933594,31.61762237548828,0.2981246875
7001,10.905838966369629,36.16047668457031,38.26217269897461,0.2978121875
8001,10.34942626953125,36.18889236450195,30.93063735961914,0.2974996875
9001,7.4136552810668945,35.21675109863281,28.646869659423828,0.2971871875
10001,6.850373268127441,27.071456909179688,23.69289779663086,0.2968746875
11001,6.874757766723633,32.20563507080078,28.095211029052734,0.29656218749999996
12001,7.23989200592041,24.360260009765625,21.96756362915039,0.29624968749999997
13001,7.922989845275879,27.65315055847168,24.418701171875,0.2959371875
14001,9.389267921447754,33.48656463623047,28.03617286682129,0.2956246875
15001,8.652961730957031,31.10765266418457,28.477588653564453,0.2953121875
16001,10.905227661132812,34.5286979675293,32.6135139465332,0.2949996875
17001,11.41942024230957,32.641029357910156,31.51103973388672,0.2946871875
18001,12.48100471496582,39.58065414428711,38.70685577392578,0.2943746875
19001,11.800742149353027,45.76386260986328,43.00958251953125,0.2940621875
20001,15.733097076416016,56.172569274902344,53.94081115722656,0.29374968749999997
21001,15.896211624145508,38.55162811279297,38.307369232177734,0.2934371875
22001,19.427953720092773,39.05988311767578,36.27985382080078,0.2931246875
23001,19.7200870513916,39.30691909790039,41.336952209472656,0.2928121875
24001,18.401752471923828,33.183509826660156,33.44470977783203,0.2924996875
25001,23.85481071472168,27.847558975219727,25.7600040435791,0.2921871875
26001,22.57301139831543,20.665725708007812,23.443992614746094,0.2918746875
27001,23.394184112548828,48.30006408691406,51.167694091796875,0.2915621875
28001,23.949222564697266,25.396068572998047,26.732301712036133,0.29124968749999997
29001,26.545352935791016,45.381858825683594,43.11390686035156,0.29093718749999997
30001,26.398193359375,28.95018196105957,29.349958419799805,0.2906246875
31001,26.156076431274414,39.713653564453125,41.47880172729492,0.2903121875
32001,24.152984619140625,32.319915771484375,32.69029998779297,0.2899996875
33001,26.422922134399414,30.316118240356445,31.823074340820312,0.2896871875
34001,29.751041412353516,25.40673065185547,27.796369552612305,0.2893746875
35001,32.36255645751953,39.349090576171875,43.65349578857422,0.2890621875
36001,33.60967254638672,40.550209045410156,45.778846740722656,0.28874968749999996
37001,29.166845321655273,28.916568756103516,34.38561248779297,0.28843718749999997
38001,26.943164825439453,47.84644317626953,46.47308349609375,0.2881246875
39001,24.687759399414062,35.81098556518555,41.73223876953125,0.2878121875
40001,22.411972045898438,23.007545471191406,23.011783599853516,0.2874996875
41001,18.921566009521484,33.91896057128906,32.68519973754883,0.2871871875
42001,18.447824478149414,39.876068115234375,43.56266784667969,0.2868746875
43001,21.233413696289062,54.63285827636719,56.177650451660156,0.2865621875
44001,20.25908660888672,28.027996063232422,25.23978042602539,0.2862496875
