episode,reward,steps,distance_traveled,steps_in_target_lane,avg_speed_diff,speed_deviation_ratio,fail_mode
50,-325.1517490146675,150,1426.814261083744,143.7192118226601,18.26726667876974,0.35467980295566504,0
51,108.50173319713092,84,1140.7957,76,3.568989649278337,0.05952380952380952,1
52,53.40454498227284,55,755.2071,51,4.030085589346476,0.03636363636363636,1
53,-528.1185188603307,88,1222.8359,58,8.516633058676772,0.26136363636363635,1
54,-563.0690167570199,35,395.05005,25,15.158687173127928,0.4857142857142857,1
55,277.6765143111708,150,2110.02246835443,125.31645569620252,5.156864815049094,0.10759493670886076,0
56,-306.3218974277962,150,1794.4704000000002,79.5,6.243401859808768,0.14,0
57,-17.95030491153196,150,959.3815500000001,114.30000000000001,6.726236222581228,0.152,0
58,115.50618262266768,150,1627.9256012658227,80.69620253164557,2.6209070838950415,0.006329113924050633,0
59,14.31542184514586,11,101.82373,11,8.78706004761474,0.36363636363636365,1
60,213.6050043635381,150,1503.33882,93.0,10.276622027113575,0.176,0
61,185.31938045042733,150,885.7117800000001,135.3,12.809685788192681,0.328,0
62,-506.8749190641958,114,774.7953,95,36.91494910860993,0.5350877192982456,1
63,-248.68509225594784,124,1648.1375,75,9.301198914189909,0.3064516129032258,1
64,-157.2359373227793,106,971.57556,101,26.377895564979948,0.5188679245283019,1
65,263.453530366921,150,2139.7908771929824,128.0701754385965,6.659648933334842,0.2046783625730994,0
66,-373.8637972416386,40,453.73254,26,10.238919513689785,0.45,1
67,-424.66642225410067,150,1937.431410550459,77.75229357798165,7.705972747747005,0.30045871559633025,0
68,1.6295532671111266,24,383.05554,24,10.146204586192601,0.4166666666666667,1
69,53.57346667585354,31,368.2273,31,19.123036755048535,0.45161290322580644,1
70,-276.8854831865667,63,500.57703,40,38.66005814488392,0.6190476190476191,1
71,126.41688729518346,124,1996.7866,90,5.221933454405333,0.20161290322580644,1
72,-369.98636604901304,68,429.6187,36,47.47271245655897,0.7205882352941176,1
73,-500.6035255463168,72,305.65125,69,56.83273584438751,0.7638888888888888,1
74,-509.77813341335747,136,1034.084,126,41.54637825709991,0.6176470588235294,1
75,-505.8990351177753,75,776.4963,68,29.796730169463487,0.49333333333333335,1
76,-505.34557396359793,150,1555.2029801324502,143.04635761589404,30.79452822177724,0.5033112582781457,0
77,-265.543921298532,150,1881.1983913043475,144.1304347826087,15.643567099411303,0.4782608695652174,0
78,28.099443438712353,32,470.89105,28,3.96785283402997,0.03125,1
79,-513.5675709494999,72,341.739,65,53.72434468018912,0.75,1
80,1849.7382237170984,150,1746.3822000000002,134.4,2.3805532921483263,0.016,0
81,-430.02180113539316,22,315.21127,14,15.339657892521489,0.6363636363636364,2
82,-505.6080227845454,96,575.00183,96,46.721291481860995,0.6979166666666666,1
83,-533.6455574375927,135,1378.1466,128,26.836762178780262,0.5111111111111111,1
84,-504.2295076598624,65,216.91315,54,50.88676022993334,0.7846153846153846,1
85,193.15828056070143,109,1605.1244,95,3.364984823903359,0.06422018348623854,1
86,-536.0013926910849,59,837.8718,42,8.098171187199146,0.2711864406779661,1
87,-500.09305858050527,122,751.37775,118,44.939787020373856,0.7131147540983607,1
88,10.802107362411757,37,518.1302,17,3.623582637150043,0.02702702702702703,1
89,-47.599886654870296,106,1068.7551,84,24.43784248742407,0.4056603773584906,1
90,-507.84384493294414,150,1473.997520661157,88.42975206611571,19.238403705676024,0.30578512396694213,0
91,-512.7144105567035,150,1758.0929032258064,133.06451612903226,6.9954701506788135,0.2056451612903226,0
92,-23.79609914288079,23,257.95038,18,6.687165343150626,0.21739130434782608,1
93,199.87482336905916,150,1638.2000586510267,112.17008797653959,4.062333221402646,0.02346041055718475,0
94,-316.1676393017645,77,848.73615,62,22.292352354628612,0.6363636363636364,1
95,-523.4803444981812,40,574.63745,29,8.293625356745071,0.3,1
96,-540.6714069530389,41,606.0344,28,9.350114391639083,0.36585365853658536,1
97,-568.2599821793095,71,1030.6129,55,8.644759592604276,0.323943661971831,1
98,-451.42762370007136,150,1967.347372881356,27.45762711864407,7.489960236313222,0.0847457627118644,0
99,935.8391926570016,150,1270.9854000000003,130.8,8.011520259578287,0.092,0
100,-502.4754116864773,82,778.1475,71,13.743139291931278,0.32926829268292684,1
101,-513.2017662803781,150,917.3255928853755,102.56916996047431,26.633774541426106,0.48616600790513836,0
102,1643.0680780585424,150,1498.4270999999999,136.5,3.8809713929069822,0.01,0
103,1491.833759219117,150,1241.1417000000001,146.70000000000002,8.271106221329712,0.184,0
104,973.9088887110765,150,1547.3726100000001,128.4,3.0007162688016904,0.014,0
105,-20.889600684526446,150,1271.0248192771085,140.96385542168676,21.04680500708956,0.4879518072289157,0
106,-388.13872086800484,99,613.6425,98,33.5642998994074,0.6060606060606061,1
107,1023.6157525035358,150,1043.7451800000001,143.70000000000002,13.601746332649455,0.314,0
108,575.1496111883582,150,1718.4813,81.9,4.550929808636629,0.032,0
109,-563.0703230916788,29,371.84253,18,14.930919813916804,0.7931034482758621,1
110,-463.9466628005596,150,1787.861072555205,123.02839116719244,11.949747386817034,0.34069400630914826,0
111,-113.58814876077835,139,2226.5352,109,9.44142973785732,0.41007194244604317,1
112,-162.22582410664808,110,1540.9127,34,7.497185842636423,0.16363636363636364,1
113,-500.81456589665294,113,1018.692,108,36.15919929612864,0.5663716814159292,1
114,-506.95668574295485,150,1792.849156626506,133.13253012048193,23.845806803109202,0.5060240963855421,0
115,-429.90300313979435,109,930.12305,101,25.778665319901545,0.41284403669724773,1
116,-552.4252778542528,83,563.22455,75,33.178175538144785,0.6867469879518072,1
117,82.82255314946337,150,1692.6304658385093,142.54658385093168,10.733741180139251,0.20496894409937888,0
118,113.6501024770674,150,1692.1778571428572,103.8095238095238,3.73515623099381,0.01904761904761905,0
119,1511.528005405707,150,988.4531400000001,145.5,9.326719187918805,0.2,0
120,1251.1231176849742,150,1062.55365,138.60000000000002,7.6042642247652665,0.16,0
121,1388.8317561137032,150,1046.7981300000001,142.8,5.454184565380363,0.11,0
122,307.0477544636612,150,1967.417573964497,92.75147928994083,5.088619672887587,0.020710059171597635,0
123,-34.74252526907566,25,293.53638,13,6.175785479654267,0.04,1
124,-15.264155249988598,144,1132.8917,144,27.640208630834437,0.5902777777777778,1
125,8.112329834823864,147,1470.6934,133,17.159806152779815,0.36054421768707484,1
126,88.22357343476382,109,1114.2665,109,15.653272664969801,0.24770642201834864,1
127,-565.7446594921252,150,1184.9849132947977,142.19653179190752,29.07243345697812,0.6127167630057804,0
128,-551.1874808112703,33,454.36603,21,14.548285785519196,0.5757575757575758,1
129,-501.03310072098446,150,739.7311864406779,146.61016949152543,41.716243493703594,0.711864406779661,0
130,555.844862488735,150,1264.5607364341085,125.968992248062,12.34258651267259,0.2248062015503876,0
131,-159.65190292073567,150,973.4501204819276,138.25301204819277,10.691120431770633,0.22289156626506024,0
132,592.6944062794518,150,1186.574640718563,144.61077844311376,15.852341650485117,0.33532934131736525,0
133,4.100815371730654,30,360.95865,28,4.736950180688026,0.1,1
134,-230.15457744862277,85,1105.2714,70,5.0594956041598165,0.16470588235294117,2
135,306.89450651114817,150,1820.786656626506,115.66265060240964,4.731483465373291,0.006024096385542169,0
136,-509.7206289344801,150,776.6036413043478,141.8478260869565,39.30370858399905,0.6847826086956522,0
137,-102.76940476418616,150,1789.3014193548388,68.70967741935485,5.878175581430179,0.0967741935483871,0
138,-526.7782831693794,150,1275.5892786885242,142.1311475409836,24.63023254574766,0.3836065573770492,0
139,-13.192639988254072,150,1738.5530898876405,144.9438202247191,16.74060468919556,0.30337078651685395,0
140,-211.46421753317117,18,249.9248,12,14.92948336164905,0.6666666666666666,2
141,-377.1381266274428,150,2374.3315460526314,90.78947368421052,12.75901216109791,0.756578947368421,0
142,-194.6312300314249,27,339.91653,22,8.907009962056915,0.25925925925925924,1
