episode,reward,discounted_reward,steps,distance_traveled
116,-450.93764362539196,-303.8074926866572,82,112.67378
117,-458.828723079486,-310.98750961182105,93,489.27008
118,-450.02961918037244,-292.64184593194136,71,19.712585
119,-450.2897421075601,-259.57380468683664,105,395.04852
120,-453.9613409044575,-295.30839499964947,88,225.60928
121,-460.74444982230614,-365.20264447354566,45,-252.14435
122,-456.05568480950353,-305.5356714191093,77,225.52448
123,-454.22360663105695,-318.33018906241733,66,57.747665
124,-451.97416011319194,-311.9442383278658,82,117.435776
125,-454.6980910807193,-308.02838197855624,65,68.1604
126,-454.28206367304443,-266.5450314024273,91,368.90866
127,-453.358840503119,-355.0191396385408,53,-168.77722
128,-458.5331470413695,-317.4937798706301,65,65.29083
129,-451.62990246017176,-278.000429207252,77,60.45407
130,-458.33011857066725,-345.72220647567434,54,-139.83983
131,-452.6346154844586,-307.8384387454835,63,45.79828
132,-455.719987462915,-316.21981928695453,59,116.28435
133,-450.99274037459253,-313.1741878946208,85,515.17365
134,-457.0726086191687,-351.21556747755164,49,-286.01587
135,-452.312549746586,-296.7370815002911,72,204.71707
136,-454.98886694919247,-268.0710985429935,86,216.95767
137,-452.22740149593005,-336.7876947024801,60,-190.60382
138,-458.8697886194036,-314.7757946331112,75,105.97153
139,-459.62025033347066,-320.15905522027606,64,210.50198
140,-460.2537191675164,-310.2557957572547,69,120.78543
141,-452.17232031382673,-327.30701296590036,61,38.706482
142,-450.5895942978747,-317.2896558054198,64,67.35271
143,-450.9458918687728,-326.63205026013844,69,279.38004
144,-453.7118321172329,-297.81681946839,84,329.20465
145,-454.53606662259307,-332.6404693002787,55,-26.933266
146,-454.9967357433717,-349.5902218056606,52,26.51355
147,-454.006329893441,-342.6892356850776,49,2.4315186
148,-454.24538502442704,-317.6768818610686,60,-50.324158
149,-453.4046066237735,-326.2595041424734,66,69.18198
150,-454.9850410945074,-267.6218395761117,104,269.08194
151,-453.6455183777381,-337.43750333436776,50,-6.2710495
152,-451.19899867272125,-270.53488428407076,99,465.46143
153,-463.0441387237944,-319.8335647981549,62,5.612114
154,-450.6465424064443,-341.0899626187649,49,11.863434
155,-454.2037096955575,-290.94613694315746,79,127.2861
156,-452.72958669719037,-334.72637532090266,114,670.589
157,-450.7441524722072,-336.41165515695025,53,-20.738594
158,-452.76363332830323,-320.3865210215638,58,-144.55414
159,-457.7148211494612,-308.25288628393776,60,51.8463
160,-463.0472875211791,-327.2996591548838,59,-18.915718
161,-451.11888499552435,-365.9451448005401,44,-124.853424
162,-452.2780285617346,-344.2623847260261,54,-5.601555
163,-457.047894238555,-298.6882209577804,73,40.33893
164,-456.3812784898588,-274.17205335099504,88,693.7735
165,-461.8935288224828,-312.76289497986795,66,132.89326
166,-453.5400863579266,-326.1673952822286,71,122.10149
167,-458.5070181626696,-369.2044423010238,40,-46.0273
168,-452.80863887188707,-339.6651913435728,51,26.254616
169,-464.8025563635288,-326.505039363506,55,-24.789894
170,-451.1548472734381,-327.05025702892647,65,45.537582
171,-453.26956818901783,-274.0594692455959,85,356.1813
172,-450.43982743015755,-359.2772574498695,48,-2.0905685
173,-457.0543479400242,-348.8012170319795,51,-48.325325
174,-457.6847348077916,-250.19333408281574,89,271.36865
175,-462.97492936120886,-320.23375911192073,59,-122.45308
176,-456.5442025562866,-343.65009521307536,50,9.980331
177,-450.06261804308224,-313.8036745995124,61,43.469803
178,-450.92758800099847,-291.6820516833501,102,615.97797
179,-452.1329241366994,-305.0950269828603,63,152.69214
180,-453.50145448529287,-364.6543683207198,42,-75.67811
181,-454.4661476153266,-347.9318066757185,53,32.952896
182,-453.13462844697693,-299.9871910307042,64,84.83127
183,-454.99462068384787,-310.41375066957016,63,108.91206
184,-457.11210312198864,-286.21986194149616,69,28.803894
185,-453.6187080453544,-254.04771245130397,85,261.19
186,-456.14551600319095,-287.515145842534,90,501.81415
187,-452.8307976913484,-289.2014220077431,75,172.00885
188,-454.93907537631554,-298.6910019929383,73,81.209335
189,-459.7042553630347,-318.10686836443716,65,113.161865
190,-455.8542310291682,-295.91928357417345,73,12.724228
191,-461.8846700044119,-361.20432084113594,46,6.737976
192,-453.4739680471089,-314.09851415206947,73,334.77673
193,-453.74094254736787,-320.424025159559,60,-40.059128
194,-450.81558291334915,-321.78350203071767,55,-30.346832
195,-458.59802655831004,-343.2893538970943,52,-10.94236
196,-460.04694087883615,-347.4753060555312,50,-28.937302
197,-454.4615767045768,-325.63754154595165,57,38.031754
198,-461.60417794734144,-330.88526595071727,55,-165.5776
199,-451.807109778368,-349.5493193441673,56,-2.2853012
200,-451.67166364447525,-303.20732008595894,80,72.85513
201,-454.6133462958299,-305.20134079376516,71,216.56342
202,-455.44638399764733,-308.3634366272506,60,273.5847
203,-459.78458394033885,-316.0972995471525,70,110.788895
204,-451.32570515559706,-297.483788527372,63,175.55582
205,-453.06001487994973,-334.493550983916,58,-85.3746
206,-456.48430498749457,-251.05657213206803,102,474.54535
207,-458.04354456100947,-352.47722658438306,47,5.4181824
208,-452.3002519960663,-353.94333684233214,48,-115.17439
209,-456.6834054466354,-231.97186300468155,113,811.104
210,-452.89012391562176,-283.69632531310737,91,262.72366
211,-460.4623060135149,-297.3335644278449,63,200.61157
212,-451.4853797858829,-240.36335120492956,101,352.61536
213,-465.13394229676516,-344.55086268659585,56,-75.91623
214,-455.8018103020193,-341.3634793256027,56,69.15024
215,-457.34978984415955,-299.4266121056667,73,159.20435
216,-451.4921677646222,-316.3314217028957,72,71.44168
217,-460.4376695417907,-354.46514118081205,46,-129.69205
218,-463.12356915058865,-320.8336553698077,54,-157.2078
219,-450.40795132651647,-269.6994021027049,94,367.84155
220,-453.19932416182996,-297.94025844817855,84,204.34116
221,-458.2321572306833,-361.5066602392923,41,-393.40445
222,-452.17348613307826,-276.4688527768222,110,612.0212
223,-454.2369509522927,-339.7093367553736,65,153.32936
224,-459.43455910896375,-266.40909462406734,80,245.01892
225,-452.7144924181019,-325.3321464480694,70,466.898
226,-453.87483229115327,-347.6588750442342,49,-109.93885
227,-455.9748820495787,-314.146237224264,68,74.05446
228,-456.8545035348236,-314.7055389950427,65,69.51112
229,-462.02491578912003,-320.75480350491137,63,30.446014
230,-450.8574257702153,-300.6725792627462,72,156.18842
231,-451.2899115919889,-286.5872114823983,91,345.56168
232,-454.6344749925371,-355.9349727170435,51,-170.18266
233,-460.3076937657436,-350.9873293967042,50,-17.364326
234,-452.5990589756243,-318.19686429564496,71,181.34195
235,-450.4123893314609,-293.6410830063092,74,175.34708
236,-451.601875853273,-308.0106726096046,74,66.00186
237,-450.93011180910895,-302.1255801818539,110,499.69537
238,-457.2908821249902,-318.0563100880788,62,48.32585
239,-456.46726139725564,-326.74085468088344,60,103.96559
240,-455.17382585659664,-298.79750540847687,69,56.890778
241,-455.57159185761594,-303.76158700338664,70,-64.419846
242,-462.97047423635985,-335.14302325437154,56,16.28086
243,-462.5604197641391,-306.2915535490138,70,101.588104
244,-453.1231217125158,-290.3498299129052,100,211.50406
245,-450.4996452060824,-331.98151421355743,57,-78.22261
246,-455.0030100915889,-285.0484846816703,81,662.7342
247,-458.1386146700566,-310.8527562888181,74,113.028305
248,-451.3512363273585,-271.6565968140609,84,207.92584
249,-452.2101230508423,-267.583160982851,81,270.46423
250,-452.6792399622313,-281.49623812188185,87,240.55801
251,-452.1378649742225,-294.43994695467495,79,106.06563
252,-454.4168473379187,-287.0869960560097,76,48.85681
253,-452.4119860168765,-343.30556681422144,59,-64.06063
254,-454.23440027677356,-262.7171415067834,82,408.61755
255,-452.1073816652616,-332.60145003854905,57,-35.14473
256,-454.2224763697483,-347.8961943314534,51,-145.39462
257,-450.591161023769,-307.5492436604373,62,170.37006
258,-450.3604953857326,-340.43147879453613,63,91.200226
259,-460.70195795083345,-315.9613921204527,68,-157.06436
260,-463.63156207667066,-348.52750611962443,44,-153.44514
261,-454.1783740362566,-277.7872637019846,99,321.0468
262,-451.7389256771681,-336.2962088791486,74,99.66
263,-458.1151779204292,-326.4075216470446,59,255.11682
264,-452.4233774482152,-320.9361714178804,58,-105.77132
265,-458.0171769079654,-321.4464049238458,63,-227.4201
266,-453.83220955812817,-339.36041716704443,49,-96.917114
267,-454.6871521847604,-297.57182178436756,81,179.41147
268,-453.10712624017793,-321.3142783999489,56,-50.459396
269,-452.98884781859147,-320.85068973309296,63,-3.4180984
270,-455.3101559836237,-270.81351326578476,86,567.02496
271,-450.919290720542,-368.0638531632837,41,-94.77967
272,-451.3267571397642,-292.65148579469115,81,239.76065
273,-450.39281840817426,-257.02477893519176,103,559.981
274,-450.2323465152438,-295.5247730994329,65,129.51726
275,-455.3662730051732,-311.39553478043047,81,170.5485
276,-451.5579066724505,-282.145858761351,82,517.0059
277,-461.7868226511854,-317.73514797431625,80,-56.86208
278,-451.47094799234276,-311.5214393145145,68,102.55011
279,-451.82808136981686,-323.88988723599573,70,143.13313
280,-452.7063718365963,-286.34698663341277,75,30.978119
281,-458.48720441913815,-325.5900763826622,61,36.103653
282,-453.53588094134545,-322.1639912953901,86,252.88452
283,-458.7987722110149,-344.4417551716949,50,-21.49849
284,-450.8129564102176,-300.36574550428253,63,50.390213
285,-456.8890295345604,-294.80343584853233,88,145.2015
286,-458.267069394859,-307.3178667684627,68,42.541214
287,-450.1532672338375,-360.28573866914536,42,-64.21887
288,-453.0910818490577,-309.4697085932295,86,382.539
289,-454.79788336574677,-356.16099409916745,51,0.47036743
290,-451.4597401269658,-318.31954555863626,67,47.042603
291,-456.5066723185607,-355.7277614438118,46,143.5222
292,-451.1441036127339,-315.03227592427334,68,199.11807
293,-458.58996602453425,-362.8579695359717,43,-80.31677
294,-454.778328375168,-322.25313244107014,65,90.6138
295,-450.25450030831126,-339.5571104861744,61,91.549286
296,-454.56835563825837,-309.9134265400403,65,82.51758
297,-463.80657402933235,-329.2518337749132,59,25.823402
298,-453.6188742055846,-346.23375628331553,50,-155.39214
299,-450.57167559598406,-302.0949748634791,66,115.07158
300,-461.8280364024777,-318.99357192435934,61,-178.26328
301,-451.4368481685724,-275.5370683856523,107,333.09253
302,-454.91546787575487,-257.11549413395306,92,553.5489
303,-454.72323573191005,-327.4109859189943,51,-177.43562
304,-451.2802998074617,-284.32597570270383,81,132.77654
305,-459.8105338241771,-311.36053384209004,67,72.86444
306,-457.2153718750421,-319.3682992830699,61,36.12047
307,-461.39817285695807,-336.56789071839466,56,52.185364
308,-450.1539119728589,-298.75186626248967,74,-14.468445
309,-453.96852992098593,-299.4947343929266,81,121.67999
310,-452.3035513384805,-278.32093271242053,72,312.3644
311,-456.9949121495921,-323.63272480438667,59,-68.1219
312,-456.5024433586015,-365.5769363446564,43,-130.61934
313,-461.7046643568895,-328.0332288152646,61,-89.46614
314,-453.11853155455503,-253.24057010313177,93,393.8235
315,-457.98761150821684,-287.5099314262858,79,438.49347
316,-450.19704693433016,-307.1573816681487,71,111.378784
317,-456.6131389331604,-318.84352521992207,73,29.338837
318,-452.66092250841405,-347.9035248521608,48,17.07106
319,-452.5027915578163,-309.2259408441845,77,135.27605
320,-453.80249353680534,-342.5079716749625,59,50.863876
321,-463.43044322315683,-343.02324662896274,63,5.402939
322,-461.08262699230687,-314.3968862158257,67,138.89908
323,-452.79661819569355,-353.5680130855233,47,-46.945454
324,-460.6126745398124,-346.1721717908517,52,13.71904
325,-451.89591781398065,-252.66176493576327,99,257.59778
326,-452.774827675858,-283.349875723697,68,-26.73764
327,-450.03088870844994,-337.27370240620354,73,203.72937
328,-453.73558768642715,-344.3584732892882,43,-44.595352
329,-452.8248157643652,-311.0804414887729,61,97.74693
330,-451.70433781191724,-355.7186023737628,47,-117.453896
331,-452.6095991038192,-342.62790531596727,51,-30.158546
332,-453.79486351691367,-319.46047284967847,61,-26.286674
333,-452.4908527640024,-307.85566388783366,56,84.966385
334,-460.853520606579,-357.9799637012276,59,73.286285
335,-451.15821053535996,-340.0111219973358,65,106.16786
336,-460.21496642912825,-354.3670133726683,52,-45.405655
337,-464.0955650835658,-329.89830459292176,54,-20.426582
338,-451.4871258620209,-351.44844705741144,67,-83.33026
339,-455.74025463481166,-359.8934327522018,45,-68.73438
340,-455.60680562937665,-350.8482390434605,46,-6.6036835
341,-462.00124945470026,-238.45456878618918,106,417.2743
342,-457.9613060346361,-257.7347579407797,88,291.03098
343,-463.0676265806306,-331.80088436315253,57,33.931213
344,-453.7346668022755,-342.84479870192877,53,14.061569
345,-458.46007479799493,-315.28345301313885,76,94.90584
346,-453.92156340162904,-339.2470269631609,52,7.197586
347,-452.87742534298286,-320.9783036630868,55,18.04425
348,-450.52048314373883,-361.2112983147377,44,-4.449295
349,-456.34573604796435,-345.3103354818663,52,16.753975
350,-450.46470921655066,-266.68498100230863,107,522.07916
351,-456.24092937847814,-298.7300166261919,80,142.91919
352,-456.6289069375415,-226.05395015940755,113,534.397
353,-451.01677708150737,-340.57702640705924,52,-120.065025
354,-452.92524286919615,-350.58243023412666,48,0.36819458
355,-451.03467577355315,-355.0239625780611,51,-199.4589
356,-461.18102815471116,-317.892444270984,57,73.468506
357,-454.7910935167526,-339.42023195499786,50,-28.12574
358,-452.0706486050252,-321.91402771085853,65,58.65825
359,-458.62011937953355,-343.08878884620475,50,-147.5924
360,-451.7965464867547,-284.48453570122587,82,80.80417
361,-460.91451380268757,-350.8124484631249,47,10.350204
362,-458.09091370277025,-290.91822943100397,68,106.5726
363,-452.5170952201255,-336.7005288716692,58,420.70404
364,-453.3205287834187,-344.319153898074,49,-95.15431
365,-451.85811469715725,-299.93469994233976,67,36.821457
366,-450.48003291600986,-284.96075415350856,72,78.21707
367,-457.1557347736604,-276.7417602167598,73,190.9172
368,-457.66312601157665,-318.3073824411495,78,95.34779
369,-452.7627761456422,-354.5407069789043,44,-0.7280731
370,-455.78596477094925,-235.43271691683296,91,704.91046
371,-458.02092227975197,-321.64977655278045,60,-30.305374
372,-455.6116993723515,-328.7251930124706,70,95.20271
373,-451.5892740187058,-285.6057490456466,106,249.73755
374,-460.2069092882081,-242.14233604837963,92,606.9527
375,-459.42323185135314,-322.1507764368592,59,-106.8277
376,-453.7251520536418,-285.46093008906365,79,387.13135
377,-450.9146295609656,-337.98082794858277,57,50.58818
378,-455.0776764697767,-348.24361559850166,49,-90.79199
379,-451.56908678821827,-289.4245395877419,92,463.38074
380,-451.97996024411225,-338.46493606065707,54,-150.04329
381,-454.838849519205,-295.53430858529055,76,97.38147
382,-454.8642834419468,-262.2508672819519,96,729.63855
383,-456.5349627208394,-299.09983184450766,76,254.99759
384,-452.31822644034264,-261.2096998271311,125,637.6058
385,-456.02332876729804,-277.4962418745781,85,352.85962
386,-451.8250772374811,-268.22768222971905,86,559.8332
387,-454.626606919458,-305.27210818940245,83,125.196915
388,-461.1346821731333,-327.68820498564264,64,232.43509
389,-462.13047936555495,-298.88166501609913,69,317.6103
390,-451.8473996925523,-334.9682113576987,68,273.17636
391,-453.27046536820046,-280.7377535383053,89,752.12274
392,-451.3092937336757,-320.8025588235267,53,-58.578617
393,-450.910927129137,-263.5385692015532,97,372.15875
394,-452.0043378731424,-281.84460509812175,77,246.05624
395,-455.0396306016147,-333.47537543665305,51,-30.2631
396,-450.63453166206756,-318.36696710636545,59,207.52008
397,-454.56117243889906,-301.25021027853387,93,122.45911
398,-456.87712277386487,-353.2406261119648,45,-207.14929
399,-455.54638834931427,-339.37002516341636,51,11.755478
400,-458.7262530055793,-367.80998999088763,42,-36.47023
401,-453.401467615715,-306.1518901865647,56,70.99402
402,-454.0687455331449,-305.8947104063976,67,60.42932
403,-454.75234157881397,-343.85580439114915,51,-155.08485
404,-458.4605534445276,-305.0631277909813,73,132.4987
405,-462.5616268758109,-347.99807919024244,52,-104.495056
406,-466.67718401608954,-278.5448836535504,71,20.783134
407,-452.77924131955746,-305.6069115342419,106,457.55658
408,-451.63174718508384,-353.52765811642746,51,-146.69583
409,-453.28067906959564,-324.22077920306634,72,-64.25171
410,-465.73746495606906,-340.3915483468011,53,-106.96727
411,-452.69856440513547,-336.53704516902997,46,14.655663
412,-451.93910433614224,-232.96424514939798,87,0.43269348
413,-450.97038330924073,-303.6031110269985,62,63.07953
414,-452.22181369437203,-205.64915652659488,132,1531.1062
415,-461.2063116338293,-316.0654874772713,71,19.3414
416,-453.34973084912053,-314.33725189118906,86,143.98213
417,-450.2802625794733,-319.3380365220052,80,170.29202
418,-455.3198767692611,-282.39316722729444,70,122.49643
419,-459.4258632122773,-305.57720724855426,69,128.10118
420,-451.43545998830785,-331.86823450550264,70,125.36154
421,-454.2490800120432,-305.35406380639387,67,47.822678
422,-457.795244912989,-330.320353684846,66,57.311905
423,-456.0110623201339,-332.26224142026575,48,-212.8059
424,-454.6217602432672,-279.75738761742673,92,291.0446
425,-451.4669505963392,-354.81011126037447,44,-144.26526
426,-450.5709282752972,-319.0761507237012,77,281.75046
427,-451.29692012912494,-326.14339259276767,55,-104.81784
428,-460.6070733844899,-292.0228893705463,83,157.43509
429,-450.489623735207,-334.44474644003753,50,-302.56708
430,-464.2487143103273,-351.0981632436608,47,-104.92031
431,-451.6067847073781,-328.4335396458005,54,-61.661602
432,-452.87662236788344,-270.20941376233714,89,313.4247
433,-452.73969741526736,-295.93318092601186,76,108.40825
434,-454.3226499672508,-354.6788048260074,47,-7.688324
435,-459.68856012291707,-356.26543484303977,48,-248.29968
436,-450.28503880653824,-288.4852504919055,79,449.0255
437,-451.62624587953263,-311.9944919342594,68,166.24393
438,-452.084921349058,-302.61162401309343,86,348.65546
439,-456.85022164692487,-332.33206387655315,60,101.43768
440,-458.86702099970944,-345.6606189351525,55,2.9008026
441,-455.8510151971861,-331.1356396517714,69,53.974762
442,-459.11419258914026,-282.4789554670237,78,131.66322
443,-456.03268783298154,-298.1911432697929,91,302.16583
444,-451.68190812165716,-335.56848467401676,60,6.8320923
445,-452.06234261196465,-246.17030149891227,111,385.48773
446,-458.70331236629926,-298.74542727736576,78,122.689835
447,-459.8197758830422,-361.8000230527712,45,-41.239197
448,-456.7254000602962,-374.0161878880232,38,-73.37077
449,-456.04107525543697,-289.1684740373668,90,312.49188
450,-450.3234993484497,-343.0803144742111,49,-0.20103455
451,-453.11279980299724,-295.7282082650882,88,99.59529
452,-450.1909091581997,-349.5330808454719,45,-3.1035843
453,-456.2815439193659,-266.8040488406785,81,162.93411
454,-459.1994470287086,-359.415414850908,52,-16.015518
455,-462.9822394192329,-345.9651363467405,49,-117.92263
456,-453.0540615953628,-330.11805817284835,56,-9.000145
457,-452.77774408784944,-326.21550899395595,60,-150.66974
458,-455.47200474701776,-306.34685231122876,67,130.21747
459,-455.4026808693737,-354.9462611352432,47,-176.69243
460,-460.8742004063562,-221.58440490730385,104,445.17816
461,-450.9297462639087,-265.68523442036786,84,285.07535
462,-458.23300243323627,-271.71820108800824,90,232.94196
463,-452.61501372997753,-342.88024327749145,60,51.977722
464,-465.5646360443281,-289.87059210685624,72,248.85956
465,-458.13815439610715,-263.5312573348058,102,288.184
466,-462.06539862250094,-354.9489479872826,47,-208.13257
467,-455.5006482208091,-335.257504968031,62,3.2798767
468,-454.3507194663504,-329.6537008434988,67,75.56346
469,-454.8415869425258,-279.95834555491194,80,572.39056
470,-459.8658697693248,-314.25550939839144,70,78.07745
471,-454.338508891515,-279.2100506683796,86,203.90915
472,-452.3290083411551,-285.1271193134077,76,706.965
473,-450.8938850303098,-320.06294229850255,54,-100.394104
474,-465.3543830070706,-328.82283337010597,62,34.06169
475,-459.95101609431106,-370.0435149304329,43,-222.68536
476,-453.2088090620664,-235.63643139811978,101,181.78049
477,-455.87007317061284,-336.55640251524653,55,76.12567
478,-461.21283444318317,-293.39446905250884,80,204.0928
479,-454.85400267161776,-331.7944298305048,57,56.258743
480,-454.2049482393469,-325.0983324008949,58,76.54971
481,-459.2739470025013,-355.1055274292393,45,25.264412
482,-455.48039016435445,-329.5355487450676,72,197.24399
483,-456.2503179269636,-261.03823353795724,97,323.2915
484,-461.1247193803075,-337.34314755591873,53,-2.5126495
485,-453.58983567883325,-308.0904032026691,76,33.718628
486,-456.6706538572869,-365.494391949862,43,-27.52105
487,-453.94018931863945,-293.05480492384504,75,128.24927
488,-453.5718697985717,-345.5579107516909,51,-68.34202
489,-453.73174537763117,-288.5646112983983,82,149.8602
490,-454.93021473218744,-317.5480589362778,78,92.4745
491,-452.08626457060467,-308.945590654734,83,358.09927
492,-458.366159576161,-339.788554437498,53,-173.52716
493,-466.82529219876477,-258.45354430362,92,438.46118
494,-457.15029999973723,-342.10526329490546,43,-248.29933
495,-458.1954252884013,-249.5372183734325,100,213.7182
496,-459.43914641736393,-301.7777739737783,65,111.66618
497,-459.08095931099285,-307.5155038847609,65,-85.570694
498,-457.22253325911635,-255.15183185121714,99,309.47525
499,-462.9957837235948,-290.3237953957575,90,203.81616
500,-452.40952429254247,-307.05657917982967,75,180.65207
501,-451.1360543986081,-305.0035475757854,72,49.707092
502,-451.36166008728213,-276.8909340421822,88,253.31134
503,-450.03651210806936,-294.74456780171056,68,127.45232
504,-456.3774025293127,-332.95876010863617,53,89.29796
505,-451.7781494905426,-304.47247830115185,104,288.43826
506,-450.0809000094431,-340.2824807518831,52,36.72647
507,-452.4609692971223,-355.36252305659053,59,0.8532715
508,-452.06933563168934,-317.0304187983828,65,191.9761
509,-455.0534604105265,-253.067607083794,112,544.6475
510,-458.6010800873302,-327.17345734339693,75,164.83694
