step,actor_loss,critic_1_loss,critic_2_loss,noise_std
2501,23.476625442504883,229.24961853027344,231.8703155517578,0.3496665333333333
5001,45.494136810302734,249.90878295898438,258.20318603515625,0.34933319999999995
7501,69.17669677734375,346.5977783203125,359.3146667480469,0.34899986666666666
10001,95.15409088134766,346.7698669433594,353.21612548828125,0.3486665333333333
12501,120.78533172607422,527.7510375976562,491.3486328125,0.34833319999999995
15001,129.80490112304688,433.15069580078125,428.9748229980469,0.34799986666666666
17501,124.76222229003906,538.517578125,574.5960083007812,0.3476665333333333
20001,115.58901977539062,591.5748291015625,595.1240234375,0.34733319999999995
22501,132.16537475585938,537.8402099609375,532.3497314453125,0.34699986666666666
25001,141.238037109375,483.4014587402344,485.88885498046875,0.3466665333333333
27501,149.69247436523438,491.91558837890625,465.23876953125,0.34633319999999995
30001,157.0403594970703,341.70013427734375,370.3025207519531,0.34599986666666666
32501,168.56130981445312,537.8567504882812,602.2332763671875,0.3456665333333333
35001,174.1215057373047,459.5040588378906,481.6697692871094,0.34533319999999995
37501,185.35447692871094,510.9145812988281,479.8746032714844,0.34499986666666665
40001,192.2672119140625,396.75146484375,423.50811767578125,0.3446665333333333
42501,196.13050842285156,386.5997619628906,389.92547607421875,0.34433319999999995
45001,199.4317626953125,442.5627746582031,455.5809020996094,0.34399986666666665
47501,201.76966857910156,455.9112548828125,468.48681640625,0.3436665333333333
50001,196.7346649169922,765.711669921875,797.7510375976562,0.3433332
52501,177.07643127441406,396.40362548828125,409.22113037109375,0.34299986666666665
55001,180.2420196533203,462.23785400390625,503.1021423339844,0.3426665333333333
57501,173.77816772460938,554.013916015625,617.1201171875,0.3423332
60001,169.26986694335938,620.294677734375,631.6146240234375,0.34199986666666665
62501,163.3946533203125,670.718994140625,562.69140625,0.3416665333333333
65001,160.5098876953125,597.2157592773438,601.483154296875,0.3413332
67501,160.484375,523.181396484375,568.6459350585938,0.34099986666666665
70001,163.21458435058594,305.9767761230469,282.63409423828125,0.3406665333333333
72501,171.90606689453125,374.797607421875,351.68695068359375,0.3403332
75001,176.47604370117188,549.422607421875,542.580322265625,0.33999986666666665
77501,190.9264678955078,645.2557373046875,656.709716796875,0.3396665333333333
80001,192.5681610107422,934.754638671875,952.3540649414062,0.3393332
82501,185.0181884765625,541.4334106445312,539.1082153320312,0.33899986666666665
85001,183.06570434570312,677.2408447265625,625.721923828125,0.3386665333333333
87501,185.35476684570312,646.61328125,539.3939208984375,0.3383332
90001,191.44235229492188,367.610107421875,384.88079833984375,0.33799986666666665
92501,195.91798400878906,482.0240478515625,480.4851379394531,0.3376665333333333
95001,201.2527618408203,644.8713989257812,607.3966064453125,0.3373332
97501,203.6356201171875,339.6883850097656,376.2589111328125,0.33699986666666665
