step,actor_loss,critic_1_loss,critic_2_loss,noise_std
2501,25.726417541503906,32.26778793334961,28.584796905517578,0.29988631818181816
5001,53.465415954589844,80.84295654296875,79.65672302246094,0.2997726818181818
7501,79.59971618652344,123.39063262939453,126.445556640625,0.29965904545454547
10001,109.14275360107422,249.25390625,258.365966796875,0.2995454090909091
12501,142.00997924804688,364.3133544921875,356.173583984375,0.2994317727272727
15001,168.87762451171875,502.91021728515625,501.03485107421875,0.29931813636363636
17501,194.6868438720703,684.2186279296875,671.948486328125,0.2992045
20001,211.01625061035156,782.2022705078125,812.391357421875,0.2990908636363636
22501,228.2958984375,812.26513671875,745.7635498046875,0.29897722727272724
25001,237.67324829101562,689.2001953125,701.359619140625,0.29886359090909087
27501,241.66049194335938,1138.5020751953125,1177.902099609375,0.29874995454545455
30001,251.8737030029297,564.478759765625,498.66339111328125,0.2986363181818182
32501,263.1893615722656,949.3502197265625,874.6748046875,0.2985226818181818
35001,264.6170959472656,689.8790893554688,640.73291015625,0.29840904545454544
37501,273.6936340332031,933.5240478515625,916.6944580078125,0.29829540909090907
40001,261.4765930175781,700.2080078125,752.695556640625,0.2981817727272727
42501,273.03216552734375,895.51611328125,800.83984375,0.2980681363636363
45001,267.89739990234375,900.671142578125,876.397216796875,0.2979545
47501,275.24310302734375,659.712890625,649.0277709960938,0.29784086363636364
50001,274.8878173828125,944.91943359375,905.7545776367188,0.29772722727272727
52501,269.8055725097656,888.87109375,857.6749267578125,0.2976135909090909
55001,272.36334228515625,801.7068481445312,771.4464111328125,0.2974999545454545
57501,268.24395751953125,735.8131103515625,714.707763671875,0.29738631818181815
60001,274.255126953125,968.3677978515625,877.3230590820312,0.2972726818181818
62501,264.9337158203125,750.5366821289062,763.9376220703125,0.29715904545454547
65001,269.67279052734375,574.299072265625,623.1981201171875,0.2970454090909091
67501,273.2206115722656,897.7769775390625,845.9659423828125,0.2969317727272727
70001,272.09027099609375,668.92138671875,692.655517578125,0.29681813636363635
72501,267.80084228515625,779.8326416015625,749.5532836914062,0.2967045
75001,275.5028381347656,634.8287353515625,713.3164672851562,0.2965908636363636
77501,276.8018493652344,769.7998657226562,740.3034057617188,0.29647722727272724
80001,274.1717529296875,845.5974731445312,853.6948852539062,0.2963635909090909
82501,280.69635009765625,740.5769653320312,656.0662231445312,0.29624995454545455
85001,285.7364501953125,805.45361328125,768.9715576171875,0.2961363181818182
87501,293.00927734375,980.1024169921875,933.32666015625,0.2960226818181818
90001,291.9557800292969,846.275634765625,826.640869140625,0.29590904545454544
92501,297.1807861328125,789.5902099609375,786.145751953125,0.29579540909090907
95001,291.0445556640625,1177.1259765625,1045.7952880859375,0.2956817727272727
97501,297.838623046875,1191.5584716796875,1193.2659912109375,0.2955681363636363
100001,298.6033935546875,1287.718017578125,1314.1539306640625,0.2954545
102501,310.25115966796875,758.8270874023438,772.1901245117188,0.29534086363636364
105001,307.5566101074219,1011.1219482421875,974.7161254882812,0.29522722727272727
107501,302.0957946777344,787.9239501953125,789.00244140625,0.2951135909090909
110001,302.4340515136719,665.210693359375,674.2125244140625,0.2949999545454545
112501,299.9536437988281,547.490234375,566.066162109375,0.29488631818181815
115001,303.61798095703125,1015.1448364257812,966.372314453125,0.2947726818181818
117501,306.62347412109375,964.0205078125,973.2920532226562,0.29465904545454547
120001,302.1370849609375,813.704833984375,834.5841064453125,0.2945454090909091
122501,315.7506103515625,1230.3612060546875,1145.3548583984375,0.2944317727272727
125001,320.2459411621094,769.5228271484375,688.44775390625,0.29431813636363635
127501,315.7547912597656,1079.73583984375,1068.4476318359375,0.2942045
130001,321.93646240234375,769.75634765625,765.15087890625,0.2940908636363636
132501,318.86016845703125,941.0093994140625,968.6326293945312,0.29397722727272724
135001,316.88104248046875,1002.037841796875,938.2313842773438,0.2938635909090909
137501,328.39703369140625,779.3743896484375,792.657470703125,0.29374995454545455
140001,328.8448486328125,1319.2376708984375,1320.638427734375,0.2936363181818182
142501,325.9561767578125,937.7039184570312,968.22998046875,0.2935226818181818
145001,323.6268310546875,1027.310791015625,1013.7816772460938,0.29340904545454544
147501,330.6905822753906,818.4693603515625,861.2744140625,0.29329540909090906
150001,330.160400390625,858.6201782226562,795.785888671875,0.2931817727272727
152501,335.02362060546875,711.759521484375,712.7329711914062,0.2930681363636364
155001,319.8580627441406,1582.5023193359375,1516.9654541015625,0.2929545
157501,318.9256286621094,1208.939208984375,1157.2862548828125,0.29284086363636364
160001,312.08282470703125,1313.2540283203125,1275.6114501953125,0.29272722727272726
162501,317.8308410644531,987.9674072265625,929.71826171875,0.2926135909090909
165001,313.8515625,931.1654052734375,883.6564331054688,0.2924999545454545
167501,318.4438781738281,1131.633056640625,1005.1298217773438,0.29238631818181815
170001,320.8721618652344,712.776611328125,736.5426025390625,0.2922726818181818
172501,313.218994140625,800.0571899414062,702.5260009765625,0.29215904545454546
175001,317.7484130859375,816.0639038085938,943.3243408203125,0.2920454090909091
177501,306.12847900390625,1162.0843505859375,1136.120849609375,0.2919317727272727
180001,311.52716064453125,892.4375,905.8112182617188,0.29181813636363635
182501,311.62603759765625,876.617431640625,946.619384765625,0.2917045
185001,311.9836730957031,704.7232055664062,580.9951171875,0.2915908636363636
187501,311.022705078125,1172.698974609375,1148.0257568359375,0.29147722727272724
190001,309.12286376953125,760.157958984375,797.4151611328125,0.2913635909090909
192501,310.0517578125,865.442138671875,794.6202392578125,0.29124995454545455
195001,314.3076477050781,707.724609375,659.784912109375,0.2911363181818182
197501,315.60888671875,752.73095703125,765.1162109375,0.2910226818181818
200001,311.5653381347656,845.3335571289062,769.65283203125,0.29090904545454543
202501,308.02252197265625,1118.5618896484375,1195.8594970703125,0.29079540909090906
205001,322.7213134765625,875.9296875,885.5606689453125,0.2906817727272727
207501,313.982666015625,767.5690307617188,790.4309692382812,0.2905681363636364
210001,309.2958068847656,988.8399047851562,1048.85498046875,0.2904545
212501,312.26666259765625,871.7008056640625,823.3618774414062,0.29034086363636363
215001,313.32879638671875,902.0712280273438,924.7354125976562,0.29022722727272726
217501,312.81256103515625,1019.833984375,942.6312255859375,0.2901135909090909
220001,314.2352294921875,1407.720703125,1310.867919921875,0.2899999545454545
222501,314.194580078125,754.8203735351562,690.9228515625,0.28988631818181815
225001,315.33416748046875,753.4534301757812,780.2125244140625,0.28977268181818183
227501,312.44781494140625,1228.134521484375,1206.58154296875,0.28965904545454546
230001,314.83123779296875,977.533935546875,942.882080078125,0.2895454090909091
232501,310.27001953125,1044.8651123046875,992.093994140625,0.2894317727272727
235001,312.589599609375,1160.70849609375,1111.6875,0.28931813636363635
237501,312.9737548828125,1157.0352783203125,1174.7896728515625,0.2892045
