episode,steps,reward,discounted_reward,steps,distance_traveled
0,14,-509.3697043328127,-360.1517908610692,14,43.212158203125
10,478,-660.6289461104872,-177.1169638674774,44,391.58319091796875
20,968,-609.5227129552327,-236.53275363242466,34,229.10760498046875
30,1604,-500.58036865501356,-229.0789095156928,56,220.67153930664062
40,1942,-504.6881575225182,-236.34100766435822,43,-125.94491004943848
50,2489,-544.5105875537964,-125.62577249750547,65,693.6255493164062
60,2929,-509.6057535681957,-161.4680080861831,57,94.90234375
70,3283,-517.6676558387616,-243.32348027736919,42,337.6987609863281
80,3709,-509.89587469506876,-156.43660622784952,60,386.9115905761719
90,4094,-512.5791452103686,-301.0347442875821,21,78.57498168945312
100,4457,-516.1165473670204,-264.36559402432056,26,121.10580444335938
110,4911,-515.2063569852132,-231.62849773356194,33,112.14567565917969
120,5471,-518.44949840844,-287.91237011295,33,57.205963134765625
130,5924,-646.7697356641144,-192.9669553422505,45,242.8662109375
140,6345,-507.01692130971156,-213.0959492220559,61,340.9024658203125
150,6908,-536.7516929900484,-228.36203904334747,33,262.16619873046875
160,7380,-505.8067583454956,-102.70158909953415,96,131.93707275390625
170,7914,-554.9743030735862,-84.36706938740663,92,523.6947631835938
180,8404,-504.6166054538835,-197.70023967780955,57,110.96011352539062
190,8917,-585.3738835236514,-232.60148955278004,37,149.26361083984375
200,9423,-519.3221172494211,-271.26169009285456,33,38.853607177734375
210,9980,-530.9587684147863,-192.18201315796802,56,629.3088989257812
220,10525,-504.9160277071344,-297.6184579620455,20,103.77055358886719
230,10954,-511.1356849766132,-201.36131864214127,33,169.816650390625
240,11293,-616.5742822628225,-354.8437347284085,21,162.39157104492188
250,11637,-521.4249463064932,-207.03857612988728,48,137.91127014160156
260,12092,-506.0513428018089,-150.75082249825175,68,197.46356201171875
270,12511,-588.8597403448214,-239.56644923734075,42,53.1165771484375
280,12874,-501.50270955840307,-324.09044502882233,17,95.79206848144531
290,13351,-512.7499494930282,-255.90145044119447,26,207.78912353515625
300,13737,-535.4046035128571,-345.86510258128084,17,39.93748474121094
310,14180,-554.7573458891949,-365.17886022726645,17,12.334587097167969
320,14649,-576.1364960535112,-315.18615982744495,24,8.553901672363281
330,15165,-516.6848548427018,-190.56598071009284,65,852.7887573242188
340,15590,-586.3806321794448,-346.3611031212506,21,-27.023422241210938
350,16119,-537.5858592960558,-178.91497420449556,48,273.0197448730469
360,16578,-579.9876967229361,-130.1530217509852,61,529.44775390625
370,17089,-506.4922324535305,-219.10026479970176,46,-50.37876892089844
380,17622,-574.422115803225,-143.96120367597018,66,189.08328247070312
390,18095,-509.7741512399039,-260.2060897167469,48,-291.67327880859375
400,18457,-505.717655668279,-254.12045625879333,39,292.09368896484375
