step,actor_loss,critic_1_loss,critic_2_loss,noise_std
2501,33.71549987792969,440.8934020996094,458.68572998046875,0.3494789583333333
5001,62.759281158447266,732.611328125,692.3885498046875,0.34895812499999995
7501,83.16922760009766,511.871826171875,553.125244140625,0.34843729166666665
10001,101.65059661865234,761.7216796875,688.326904296875,0.3479164583333333
12501,108.22404479980469,708.5164794921875,739.5493774414062,0.347395625
15001,114.09912109375,818.983154296875,815.3685913085938,0.3468747916666666
17501,118.72911834716797,673.949462890625,737.31787109375,0.3463539583333333
20001,122.49909210205078,818.1619873046875,717.7518310546875,0.34583312499999996
22501,119.0594482421875,643.1064453125,678.7117919921875,0.34531229166666666
25001,118.91261291503906,646.12890625,637.6060791015625,0.3447914583333333
27501,120.06514739990234,558.0117797851562,638.5383911132812,0.344270625
30001,126.54754638671875,619.6500244140625,587.2019653320312,0.34374979166666664
32501,133.6486053466797,677.101806640625,765.9087524414062,0.34322895833333333
35001,131.31053161621094,548.8782958984375,543.5950317382812,0.342708125
37501,129.41555786132812,572.1868896484375,587.8925170898438,0.34218729166666667
40001,137.25257873535156,775.6474609375,796.7866821289062,0.3416664583333333
42501,132.4911651611328,629.734375,720.5805053710938,0.34114562499999995
45001,135.92469787597656,629.1622924804688,705.62109375,0.34062479166666665
47501,136.57583618164062,559.79443359375,556.6563720703125,0.3401039583333333
50001,139.34811401367188,535.694580078125,569.006103515625,0.339583125
52501,140.1387176513672,728.8397827148438,707.04638671875,0.3390622916666666
55001,133.85850524902344,523.99169921875,606.0216064453125,0.3385414583333333
57501,136.5207977294922,633.3212890625,601.1770629882812,0.33802062499999996
60001,138.0121612548828,578.9102783203125,617.0380859375,0.33749979166666666
62501,133.18031311035156,585.5350952148438,553.930419921875,0.3369789583333333
65001,133.44886779785156,623.0642700195312,759.105224609375,0.336458125
67501,131.7796630859375,567.441650390625,583.2774047851562,0.33593729166666664
70001,131.6893768310547,647.5084838867188,513.527099609375,0.33541645833333333
72501,131.7161407470703,619.896240234375,692.634521484375,0.334895625
75001,128.03045654296875,850.418701171875,865.8792724609375,0.33437479166666667
77501,129.1400909423828,747.9423828125,795.1851806640625,0.3338539583333333
80001,127.39537048339844,794.1952514648438,816.9124755859375,0.33333312499999995
82501,126.32022094726562,808.1407470703125,694.776123046875,0.33281229166666665
85001,125.63619232177734,683.8363037109375,698.025146484375,0.3322914583333333
87501,128.3633575439453,493.1322937011719,484.7943420410156,0.331770625
90001,129.7945556640625,608.4661254882812,486.1524658203125,0.3312497916666666
92501,130.47047424316406,686.893798828125,765.2069702148438,0.3307289583333333
95001,135.93519592285156,647.3342895507812,563.5230712890625,0.33020812499999996
97501,134.9871063232422,481.11846923828125,552.5966186523438,0.32968729166666666
100001,135.2738494873047,492.8150329589844,425.03204345703125,0.3291664583333333
102501,133.4697265625,682.6712646484375,575.9019165039062,0.328645625
105001,137.4438934326172,727.0924072265625,760.3436279296875,0.32812479166666664
107501,133.8973846435547,538.5447998046875,570.8939208984375,0.32760395833333333
110001,136.95404052734375,378.10150146484375,441.92681884765625,0.327083125
112501,132.84368896484375,634.7464599609375,720.8919677734375,0.3265622916666666
115001,132.2781982421875,624.9927978515625,626.173095703125,0.3260414583333333
117501,130.4402313232422,417.7537536621094,450.48663330078125,0.32552062499999995
120001,130.71435546875,378.27935791015625,347.3597412109375,0.32499979166666665
122501,126.61245727539062,464.12420654296875,555.685302734375,0.3244789583333333
125001,128.94284057617188,522.7128295898438,541.203369140625,0.323958125
127501,127.61021423339844,505.2463073730469,581.3003540039062,0.3234372916666666
130001,126.69386291503906,475.6214294433594,485.8879089355469,0.3229164583333333
132501,124.58061218261719,313.6507263183594,320.6601867675781,0.32239562499999996
135001,122.92767333984375,426.8501892089844,395.02532958984375,0.32187479166666666
137501,124.322509765625,381.9716491699219,434.4801025390625,0.3213539583333333
140001,122.47622680664062,342.13104248046875,380.3749084472656,0.320833125
142501,122.5772476196289,534.0149536132812,508.8192138671875,0.32031229166666664
